common_name,scientific_name,order,family,genus,species,
blueberry gall midge,Dasineura oxycoccana (Johnson),Diptera,Cecidomyiidae,Dasineura,oxycoccana,
blueberry maggot,Rhagoletis mendax Curran,Diptera,Tephritidae,Rhagoletis,mendax,
blueberry thrips,Frankliniella vaccinii Morgan,Thysanoptera,Thripidae,Frankliniella,vaccinii,
blueberry tip midge,Prodiplosis vaccinii (Felt),Diptera,Cecidomyiidae,Prodiplosis,vaccinii,
bluegrass billbug,Sphenophorus parvulus Gyllenhal,Coleoptera,Curculionidae,Sphenophorus,parvulus,
bluegrass webworm,Parapediasia teterrella (Zincken),Lepidoptera,Crambidae,Parapediasia,teterrella,
blue-green sharpshooter,Graphocephala atropunctata (Signoret),Hemiptera,Cicadellidae,Graphocephala,atropunctata,
bluntnosed cranberry leafhopper,Scleroracus vaccinii (Van Duzee),Hemiptera,Cicadellidae,Scleroracus,vaccinii,
body louse,Pediculus humanus humanus Linnaeus,Phthiraptera,Pediculidae,Pediculus,humanus humanus,
Boisduval scale,Diaspis boisduvalii Signoret,Hemiptera,Diaspididae,Diaspis,boisduvalii,
boll weevil,Anthonomus grandis grandis Boheman,Coleoptera,Curculionidae,Anthonomus,grandis grandis,
bollworm*,Helicoverpa zea (Boddie),Lepidoptera,Noctuidae,Helicoverpa,zea,
booklouse,Liposcelis corrodens Heymons,Psocoptera,Liposcelididae,Liposcelis,corrodens,
boreal spruce beetle,Dendroctonus punctatus LeConte,Coleoptera,Curculionidae,Dendroctonus,punctatus,
boxelder aphid,Periphyllus negundinis (Thomas),Hemiptera,Aphididae,Periphyllus,negundinis,
boxelder bug,Boisea trivittata (Say),Hemiptera,Rhopalidae,Boisea,trivittata,
boxelder leafroller,Caloptilia negundella (Chambers),Lepidoptera,Gracillariidae,Caloptilia,negundella,
boxelder psyllid,Cacopsylla negundinis Mally,Hemiptera,Psyllidae,Cacopsylla,negundinis,
boxelder twig borer,Proteoteras willingana (Kearfott),Lepidoptera,Tortricidae,Proteoteras,willingana,
boxwood leafminer,Monarthropalpus flavus (Schrank),Diptera,Cecidomyiidae,Monarthropalpus,flavus,
boxwood psyllid,Cacopsylla buxi (Linnaeus),Hemiptera,Psyllidae,Cacopsylla,buxi,
bramble leafhopper,Ribautiana tenerrima (Herrich-Schäffer),Hemiptera,Cicadellidae,Ribautiana,tenerrima,
Brasilian leafhopper,Protalebrella brasiliensis (Baker),Hemiptera,Cicadellidae,Protalebrella,brasiliensis,
bristly cutworm,Lacinipolia renigera (Stephens),Lepidoptera,Noctuidae,Lacinipolia,renigera,
bristly roseslug,Cladius difformis (Panzer),Hymenoptera,Tenthredinidae,Cladius,difformis,
broad mite,Polyphagotarsonemus latus (Banks),Acari,Tarsonemidae,Polyphagotarsonemus,latus,
broad necked root borer,Prionus laticollis (Drury),Coleoptera,Cerambycidae,Prionus,laticollis,
broadbean weevil,Bruchus rufimanus Boheman,Coleoptera,Chrysomelidae,Bruchus,rufimanus,
broadhorned flour beetle,Gnatocerus cornutus (Fabricius),Coleoptera,Tenebrionidae,Gnatocerus,cornutus,
broadnosed grain weevil,Caulophilus oryzae (Gyllenhal),Coleoptera,Curculionidae,Caulophilus,oryzae,
broadwinged katydid,Microcentrum rhombifolium (Saussure),Orthoptera,Tettigoniidae,Microcentrum,rhombifolium,
bromegrass seed midge,Contarinia bromicola (Marikovskij & Agafonova),Diptera,Cecidomyiidae,Contarinia,bromicola,
bronze appletree weevil,Magdalis aenescens LeConte,Coleoptera,Curculionidae,Magdalis,aenescens,
bronze birch borer,Agrilus anxius Gory,Coleoptera,Buprestidae,Agrilus,anxius,
bronze leaf beetle,Diachus auratus (Fabricius),Coleoptera,Chrysomelidae,Diachus,auratus,
bronze poplar borer,Agrilus liragus Barter & Brown,Coleoptera,Buprestidae,Agrilus,liragus,
bronzed cutworm,Nephelodes minians Guenée,Lepidoptera,Noctuidae,Nephelodes,minians,
brown chicken louse,Goniodes dissimilis Denny,Phthiraptera,Philopteridae,Goniodes,dissimilis,
brown citrus aphid,Aphis citricidus (Kirkaldy),Hemiptera,Aphididae,Aphis,citricidus,
brown cockroach,Periplaneta brunnea Burmeister,Blattodea,Blattidae,Periplaneta,brunnea,
brown cotton leafworm,Tarache dacia (Druce),Lepidoptera,Noctuidae,Tarache,dacia,
brown dog tick,Rhipicephalus sanguineus (Latreille),Acari,Ixodidae,Rhipicephalus,sanguineus,
brown dung beetle,Digitonthophagus gazella (Fabricius),Coleoptera,Scarabaeidae,Digitonthophagus,gazella,
brown flour mite,Gohieria fusca (Oudemans),Acari,Glycyphagidae,Gohieria,fusca,
brown garden snail,Cornu aspersum Müller,Stylommatophora,Helicidae,Cornu,aspersum,
brown house moth,Hofmannophila pseudospretella (Stainton),Lepidoptera,Oecophoridae,Hofmannophila,pseudospretella,
brown marmorated stink bug,Halyomorpha halys (Stål),Hemiptera,Pentatomidae,Halyomorpha,halys,
brown mite,Bryobia rubrioculus (Scheuten),Acari,Tetranychidae,Bryobia,rubrioculus,
brown pineapple scale,Melanaspis bromiliae (Leonardi),Hemiptera,Diaspididae,Melanaspis,bromiliae,
brown recluse spider,Loxosceles reclusa Gertsch & Mulaik,Araneae,Sicariidae,Loxosceles,reclusa,
brown saltmarsh mosquito,Aedes cantator (Coquillett),Diptera,Culicidae,Aedes,cantator,
brown soft scale,Coccus hesperidum Linnaeus,Hemiptera,Coccidae,Coccus,hesperidum,
brown speckled leafhopper,Paraphlepsius irroratus (Say),Hemiptera,Cicadellidae,Paraphlepsius,irroratus,
brown spider beetle,Ptinus clavipes Panzer,Coleoptera,Ptinidae,Ptinus,clavipes,
brown stink bug,Euschistus servus (Say),Hemiptera,Pentatomidae,Euschistus,servus,
brown wheat mite,Petrobia latens (Müller),Acari,Tetranychidae,Petrobia,latens,
brown widow spider,Latrodectus geometricus C.L. Koch,Araneae,Theridiidae,Latrodectus,geometricus,
brownbanded cockroach,Supella longipalpa (Fabricius),Blattodea,Blattellidae,Supella,longipalpa,
brownbelted bumble bee,Bombus griseocollis (De Geer),Hymenoptera,Apidae,Bombus,griseocollis,
brownheaded ash sawfly,Tomostethus multicinctus (Rohwer),Hymenoptera,Tenthredinidae,Tomostethus,multicinctus,
brownheaded jack pine sawfly,Neodiprion dubiosus Schedl,Hymenoptera,Diprionidae,Neodiprion,dubiosus,
brownlegged grain mite,Aleuroglyphus ovatus (Troupeau),Acari,Acaridae,Aleuroglyphus,ovatus,
browntail moth,Euproctis chrysorrhoea (Linnaeus),Lepidoptera,Erebidae,Euproctis,chrysorrhoea,
Bruce spanworm,Operophtera bruceata (Hulst),Lepidoptera,Geometridae,Operophtera,bruceata,
buck moth,Hemileuca maia (Drury),Lepidoptera,Saturniidae,Hemileuca,maia,
buckthorn aphid,Aphis nasturtii Kaltenbach,Hemiptera,Aphididae,Aphis,nasturtii,
buffalo treehopper,Stictocephala bisonia Kopp & Yonke,Hemiptera,Membracidae,Stictocephala,bisonia,
buffalograss webworm,Surattha indentella Kearfott,Lepidoptera,Pyralidae,Surattha,indentella,
bulb mite,Rhizoglyphus echinopus (Fumouze & Robin),Acari,Acaridae,Rhizoglyphus,echinopus,
bulb scale mite,Steneotarsonemus laticeps (Halbert),Acari,Tarsonemidae,Steneotarsonemus,laticeps,
bull pine sawfly,Zadiprion townsendi (Cockerell),Hymenoptera,Diprionidae,Zadiprion,townsendi,
bumble flower beetle,Euphoria inda (Linnaeus),Coleoptera,Scarabaeidae,Euphoria,inda,
bumelia fruit fly,Anastrepha pallens Coquillett,Diptera,Tephritidae,Anastrepha,pallens,
burdock borer,Papaipema cataphracta (Grote),Lepidoptera,Noctuidae,Papaipema,cataphracta,
Burmeister mantid,Orthodera burmeisteri Wood-Mason,Mantodea,Mantidae,Orthodera,burmeisteri,
butternut curculio,Conotrachelus juglandis LeConte,Coleoptera,Curculionidae,Conotrachelus,juglandis,
cabbage aphid,Brevicoryne brassicae (Linnaeus),Hemiptera,Aphididae,Brevicoryne,brassicae,
cabbage curculio,Ceutorhynchus rapae Gyllenhal,Coleoptera,Curculionidae,Ceutorhynchus,rapae,
cabbage looper,Trichoplusia ni (Hübner),Lepidoptera,Noctuidae,Trichoplusia,ni,
cabbage maggot,Delia radicum (Linnaeus),Diptera,Anthomyiidae,Delia,radicum,
cabbage seedpod weevil,Ceutorhynchus assimilis (Paykull),Coleoptera,Curculionidae,Ceutorhynchus,assimilis,
cabbage seedstalk curculio,Ceutorhynchus quadridens (Panzer),Coleoptera,Curculionidae,Ceutorhynchus,quadridens,
cabbage webworm,Hellula rogatalis (Hulst),Lepidoptera,Crambidae,Hellula,rogatalis,
cactus moth,Cactoblastis cactorum (Berg),Lepidoptera,Pyralidae,Cactoblastis,cactorum,
cactus scale,Diaspis echinocacti (Bouch),Hemiptera,Diaspididae,Diaspis,echinocacti,
cadelle,Tenebroides mauritanicus (Linnaeus),Coleoptera,Trogossitidae,Tenebroides,mauritanicus,
Caledonia seed bug,Nysius caledoniae Distant,Hemiptera,Lygaeidae,Nysius,caledoniae,
calico scale,Eulecanium cerasorum (Cockerell),Hemiptera,Coccidae,Eulecanium,cerasorum,
California bumble bee,Bombus californicus Smith,Hymenoptera,Apidae,Bombus,californicus,
California fivespined ips,Ips paraconfusus Lanier,Coleoptera,Curculionidae,Ips,paraconfusus,
California flatheaded borer,Phaenops californica (Van Dyke),Coleoptera,Buprestidae,Phaenops,californica,
California harvester ant,Pogonomyrmex californicus (Buckley),Hymenoptera,Formicidae,Pogonomyrmex,californicus,
California oakworm,Phryganidia californica Packard,Lepidoptera,Notodontidae,Phryganidia,californica,
California pear sawfly,Pristiphora abbreviata (Hartig),Hymenoptera,Tenthredinidae,Pristiphora,abbreviata,
California prionus,Prionus californicus Motschulsky,Coleoptera,Cerambycidae,Prionus,californicus,
California red scale,Aonidiella aurantii (Maskell),Hemiptera,Diaspididae,Aonidiella,aurantii,
California saltmarsh mosquito,Aedes squamiger (Coquillett),Diptera,Culicidae,Aedes,squamiger,
California tortoiseshell,Nymphalis californica (Boisduval),Lepidoptera,Nymphalidae,Nymphalis,californica,
camellia scale,Lepidosaphes camelliae Hoke,Hemiptera,Diaspididae,Lepidosaphes,camelliae,
camphor scale,Pseudaonidia duplex (Cockerell),Hemiptera,Diaspididae,Pseudaonidia,duplex,
camphor shot borer,Cnestus mutilatus (Blandford),Coleoptera,Curculionidae,Cnestus,mutilatus,
camphor thrips,Liothrips floridensis (Watson),Thysanoptera,Phlaeothripidae,Liothrips,floridensis,
cannabis aphid ,Phorodon cannabis Passerini,Hemiptera,Aphididae,Phorodon,cannabis,
caragana aphid,Acyrthosiphon caraganae (Cholodkovsky),Hemiptera,Aphididae,Acyrthosiphon,caraganae,
caragana blister beetle,Epicauta subglabra (Fall),Coleoptera,Meloidae,Epicauta,subglabra,
caragana plant bug,Lopidea dakota Knight,Hemiptera,Miridae,Lopidea,dakota,
Caribbean black scale,Saissetia neglecta De Lotto,Hemiptera,Coccidae,Saissetia,neglecta,
Caribbean cicada killer,Sphecius hogardii (Latreille),Hymenoptera,Crabronidae,Sphecius,hogardii,
Caribbean fruit fly,Anastrepha suspensa (Loew),Diptera,Tephritidae,Anastrepha,suspensa,
Caribbean pod borer,Fundella pellucens Zeller,Lepidoptera,Pyralidae,Fundella,pellucens,
carmine spider mite,Tetranychus cinnabarinus (Boisduval),Acari,Tetranychidae,Tetranychus,cinnabarinus,
carnation maggot,Delia brunnescens (Zetterstedt),Diptera,Anthomyiidae,Delia,brunnescens,
carnation tip maggot,Delia echinata (Séguy),Diptera,Anthomyiidae,Delia,echinata,
carob moth,Ectomyelois ceratoniae (Zeller),Lepidoptera,Pyralidae,Ectomyelois,ceratoniae,
Carolina conifer aphid,Cinara atlantica (Wilson),Hemiptera,Aphididae,Cinara,atlantica,
Carolina grasshopper,Dissosteira carolina (Linnaeus),Orthoptera,Acrididae,Dissosteira,carolina,
Carolina mantid,Stagmomantis carolina (Johannson),Mantodea,Mantidae,Stagmomantis,carolina,
carpenter bee,Xylocopa virginica (Linnaeus),Hymenoptera,Anthophoridae,Xylocopa,virginica,
carpenterworm,Prionoxystus robiniae (Peck),Lepidoptera,Cossidae,Prionoxystus,robiniae,
carpet beetle,Anthrenus scrophulariae (Linnaeus),Coleoptera,Dermestidae,Anthrenus,scrophulariae,
carpet moth,Trichophaga tapetzella (Linnaeus),Lepidoptera,Tineidae,Trichophaga,tapetzella,
carrot beetle,Tomarus gibbosus (De Geer),Coleoptera,Scarabaeidae,Tomarus,gibbosus,
carrot rust fly,Psila rosae (Fabricius),Diptera,Psilidae,Psila,rosae,
carrot weevil,Listronotus oregonensis (LeConte),Coleoptera,Curculionidae,Listronotus,oregonensis,
casemaking clothes moth,Tinea pellionella Linnaeus,Lepidoptera,Tineidae,Tinea,pellionella,
cat flea,Ctenocephalides felis (Bouché),Siphonaptera,Pulicidae,Ctenocephalides,felis,
cat follicle mite,Demodex cati Mégnin,Acari,Demodicidae,Demodex,cati,
cat louse,Felicola subrostratus (Burmeister),Phthiraptera,Trichodectidae,Felicola,subrostratus,
catalpa midge,Contarinia catalpae (Comstock),Diptera,Cecidomyiidae,Contarinia,catalpae,
catalpa sphinx,Ceratomia catalpae (Boisduval),Lepidoptera,Sphingidae,Ceratomia,catalpae,
cattle biting louse,Bovicola bovis (Linnaeus),Phthiraptera,Trichodectidae,Bovicola,bovis,
cattle follicle mite,Demodex bovis Stiles,Acari,Demodicidae,Demodex,bovis,
cattle itch mite,Sarcoptes bovis Robin,Acari,Sarcoptidae,Sarcoptes,bovis,
cattle tail louse,Haematopinus quadripertusus Fahrenholz,Phthiraptera,Haematopinidae,Haematopinus,quadripertusus,
cattle tick,Rhipicephalus annulatus Say,Acari,Ixodidae,Rhipicephalus,annulatus,
Cayenne tick,Amblyomma cajennense (Fabricius),Acari,Ixodidae,Amblyomma,cajennense,
ceanothus silk moth,Hyalophora euryalus (Boisduval),Lepidoptera,Saturniidae,Hyalophora,euryalus,
cecropia moth,Hyalophora cecropia (Linnaeus),Lepidoptera,Saturniidae,Hyalophora,cecropia,
cedartree borer,Semanotus ligneus (Fabricius),Coleoptera,Cerambycidae,Semanotus,ligneus,
celery aphid,Semiaphis heraclei (Takahashi),Hemiptera,Aphididae,Semiaphis,heraclei,
celery leaftier*,Udea rubigalis (Guenée),Lepidoptera,Crambidae,Udea,rubigalis,
celery looper,Anagrapha falcifera (Kirby),Lepidoptera,Noctuidae,Anagrapha,falcifera,
cereal leaf beetle,Oulema melanopus (Linnaeus),Coleoptera,Chrysomelidae,Oulema,melanopus,
chaff scale,Parlatoria pergandii Comstock,Hemiptera,Diaspididae,Parlatoria,pergandii,
chainspotted geometer,Cingilia catenaria (Drury),Lepidoptera,Geometridae,Cingilia,catenaria,
changa,Neoscapteriscus didactylus (Latreille),Orthoptera,Gryllotalpidae,Neoscapteriscus,didactylus,
charcoal beetle,Melanophila consputa LeConte,Coleoptera,Buprestidae,Melanophila,consputa,
checkered melon beetle,Paranapiacaba tricincta (Say),Coleoptera,Chrysomelidae,Paranapiacaba,tricincta,
cheese mite,Tyrolichus casei Oudemans,Acari,Acaridae,Tyrolichus,casei,
cheese skipper,Piophila casei (Linnaeus),Diptera,Piophilidae,Piophila,casei,
cherry casebearer,Coleophora pruniella Clemens,Lepidoptera,Coleophoridae,Coleophora,pruniella,
cherry fruit fly*,Rhagoletis cingulata (Loew),Diptera,Tephritidae,Rhagoletis,cingulata,
cherry fruit sawfly,Hoplocampa cookei (Clarke),Hymenoptera,Tenthredinidae,Hoplocampa,cookei,
cherry fruitworm,Grapholita packardi Zeller,Lepidoptera,Tortricidae,Grapholita,packardi,
cherry leaf beetle,Tricholochmaea cavicollis (LeConte),Coleoptera,Chrysomelidae,Tricholochmaea,cavicollis,
cherry maggot*,Rhagoletis cingulata (Loew),Diptera,Tephritidae,Rhagoletis,cingulata,
chestnut timberworm,Melittomma sericeum (Harris),Coleoptera,Lymexylidae,Melittomma,sericeum,
chicken body louse,Menacanthus stramineus (Nitzsch),Phthiraptera,Menoponidae,Menacanthus,stramineus,
chicken dung fly,Fannia pusio (Wiedemann),Diptera,Fanniidae,Fannia,pusio,
chicken head louse,Cuclotogaster heterographus (Nitzsch),Phthiraptera,Philopteridae,Cuclotogaster,heterographus,
chicken mite,Dermanyssus gallinae (De Geer),Acari,Dermanyssidae,Dermanyssus,gallinae,
chigoe,Tunga penetrans (Linnaeus),Siphonaptera,Tungidae,Tunga,penetrans,
Chilean recluse spider,Loxosceles laeta (Nicolet),Araneae,Sicariidae,Loxosceles,laeta,
chilli thrips,Scirtothrips dorsalis Hood,Thysanoptera,Thripidae,Scirtothrips,dorsalis,
chimney swift bug,Cimexopsis nyctalis List,Hemiptera,Cimicidae,Cimexopsis,nyctalis,
chinch bug,Blissus leucopterus leucopterus (Say),Hemiptera,Blissidae,Blissus,leucopterus leucopterus,
Chinese dryinid,Pseudogonatopus hospes Perkins,Hymenoptera,Dryinidae,Pseudogonatopus,hospes,
Chinese mantid,Tenodera aridifolia sinensis Saussure,Mantodea,Mantidae,Tenodera,aridifolia sinensis,
Chinese obscure scale,Parlatoreopsis chinensis (Marlatt),Hemiptera,Diaspididae,Parlatoreopsis,chinensis,
Chinese rose beetle,Adoretus sinicus Burmeister,Coleoptera,Scarabaeidae,Adoretus,sinicus,
chokecherry leafroller,Sparganothis directana (Walker),Lepidoptera,Tortricidae,Sparganothis,directana,
chokecherry midge,Contarinia virginianae (Felt),Diptera,Cecidomyiidae,Contarinia,virginianae,
Christmas berry webworm,Cryptoblabes gnidiella (Milli),Lepidoptera,Pyralidae,Cryptoblabes,gnidiella,
chrysanthemum aphid,Macrosiphoniella sanborni (Gillette),Hemiptera,Aphididae,Macrosiphoniella,sanborni,
chrysanthemum flower borer,Lorita scarificata (Meyrick),Lepidoptera,Tortricidae,Lorita,scarificata,
chrysanthemum gall midge,Rhopalomyia chrysanthemi (Ahlberg),Diptera,Cecidomyiidae,Rhopalomyia,chrysanthemi,
chrysanthemum lace bug,Corythucha marmorata (Uhler),Hemiptera,Tingidae,Corythucha,marmorata,
chrysanthemum leafminer,Chromatomyia syngenesiae Hardy,Diptera,Agromyzidae,Chromatomyia,syngenesiae,
chrysanthemum thrips,Thrips nigropilosus Uzel,Thysanoptera,Thripidae,Thrips,nigropilosus,
cigar casebearer*,Coleophora serratella (Linnaeus),Lepidoptera,Coleophoridae,Coleophora,serratella,
cigarette beetle,Lasioderma serricorne (Fabricius),Coleoptera,Ptinidae,Lasioderma,serricorne,
cinereous cockroach,Nauphoeta cinerea (Olivier),Blattodea,Blaberidae,Nauphoeta,cinerea,
cinnabar moth,Tyria jacobaeae (Linnaeus),Lepidoptera,Erebidae,Tyria,jacobaeae,
citricola scale,Coccus pseudomagnoliarum (Kuwana),Hemiptera,Coccidae,Coccus,pseudomagnoliarum,
citrophilus mealybug,Pseudococcus calceolariae (Maskell),Hemiptera,Pseudococcidae,Pseudococcus,calceolariae,
citrus blackfly,Aleurocanthus woglumi Ashby,Hemiptera,Aleyrodidae,Aleurocanthus,woglumi,
citrus bud mite,Aceria sheldoni (Ewing),Acari,Eriophyidae,Aceria,sheldoni,
citrus flat mite,Brevipalpus lewisi McGregor,Acari,Tenuipalpidae,Brevipalpus,lewisi,
citrus longhorned beetle,Anoplophora chinensis (Forster),Coleoptera,Cerambycidae,Anoplophora,chinensis,
citrus mealybug,Planococcus citri (Risso),Hemiptera,Pseudococcidae,Planococcus,citri,
citrus red mite,Panonychus citri (McGregor),Acari,Tetranychidae,Panonychus,citri,
citrus root weevil,Pachnaeus litus (Germar),Coleoptera,Curculionidae,Pachnaeus,litus,
citrus rust mite,Phyllocoptruta oleivora (Ashmead),Acari,Eriophyidae,Phyllocoptruta,oleivora,
citrus snow scale,Unaspis citri (Comstock),Hemiptera,Diaspididae,Unaspis,citri,
citrus swallowtail,Papilio xuthus Linnaeus,Lepidoptera,Papilionidae,Papilio,xuthus,
citrus thrips,Scirtothrips citri (Moulton),Thysanoptera,Thripidae,Scirtothrips,citri,
citrus whitefly,Dialeurodes citri (Ashmead),Hemiptera,Aleyrodidae,Dialeurodes,citri,
claybacked cutworm,Agrotis gladiaria Morrison,Lepidoptera,Noctuidae,Agrotis,gladiaria,
claycolored billbug,Sphenophorus aequalis aequalis Gyllenhal,Coleoptera,Curculionidae,Sphenophorus,aequalis aequalis,
claycolored leaf beetle,Anomoea laticlavia (Förster),Coleoptera,Chrysomelidae,Anomoea,laticlavia,
Clear Lake gnat,Chaoborus astictopus Dyar & Shannon,Diptera,Chaoboridae,Chaoborus,astictopus,
clearwinged grasshopper,Camnula pellucida (Scudder),Orthoptera,Acrididae,Camnula,pellucida,
clematis blister beetle,Epicauta cinerea (Förster),Coleoptera,Meloidae,Epicauta,cinerea,
clidemia leafroller,Blepharomastix ebulealis (Guenée),Lepidoptera,Crambidae,Blepharomastix,ebulealis,
clidemia thrips,Liothrips urichi Karny,Thysanoptera,Phlaeothripidae,Liothrips,urichi,
Clonal raider ant,Ooceraea biroi (Forel),Hymenoptera,Formicidae,Ooceraea,biroi,
clouded plant bug,Neurocolpus nubilus (Say),Hemiptera,Miridae,Neurocolpus,nubilus,
clouded sulfur,Colias philodice Godart,Lepidoptera,Pieridae,Colias,philodice,
cloudywinged whitefly,Dialeurodes citrifolii (Morgan),Hemiptera,Aleyrodidae,Dialeurodes,citrifolii,
clover aphid,Nearctaphis bakeri (Cowen),Hemiptera,Aphididae,Nearctaphis,bakeri,
clover aphid parasite,Aphelinus lapisligni Howard,Hymenoptera,Encyrtidae,Aphelinus,lapisligni,
clover cutworm,Anarta trifolii (Hufnagel),Lepidoptera,Noctuidae,Anarta,trifolii,
clover hayworm,Hypsopygia costalis (Fabricius),Lepidoptera,Pyralidae,Hypsopygia,costalis,
clover head caterpillar,Grapholita interstinctana (Clemens),Lepidoptera,Tortricidae,Grapholita,interstinctana,
clover head weevil,Hypera meles (Fabricius),Coleoptera,Curculionidae,Hypera,meles,
clover leaf midge,Dasineura trifolii (Loew),Diptera,Cecidomyiidae,Dasineura,trifolii,
clover leaf weevil,Hypera zoilus (Scopoli),Coleoptera,Curculionidae,Hypera,zoilus,
